[11:34:43] [Server thread/INFO]: Starting minecraft server version 1.15.1
[11:34:43] [Server thread/INFO]: Loading properties
[11:34:43] [Server thread/INFO]: Default game type: SURVIVAL
[11:34:43] [Server thread/INFO]: Generating keypair
[11:34:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:34:45] [Server thread/INFO]: Using default channel type
[11:34:48] [Server thread/INFO]: This server is running CraftBukkit version git-Bukkit-2d9db47 (MC: 1.15.1) (Implementing API version 1.15.1-R0.1-SNAPSHOT)
[11:34:50] [Server thread/INFO]: Preparing level "world"
[11:37:32] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:33] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:33] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:34] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:34] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:35] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:35] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:36] [Server-Worker-2/INFO]: Preparing spawn area: 9%
[11:37:36] [Server-Worker-3/INFO]: Preparing spawn area: 9%
[11:37:37] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:37] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[11:37:38] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:38] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[11:37:39] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:39] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:40] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[11:37:40] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[11:37:41] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:41] [Server-Worker-2/INFO]: Preparing spawn area: 10%
[11:37:42] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[11:37:42] [Server-Worker-2/INFO]: Preparing spawn area: 14%
[11:37:43] [Server-Worker-2/INFO]: Preparing spawn area: 14%
[11:37:43] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:37:44] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:37:44] [Server-Worker-2/INFO]: Preparing spawn area: 15%
[11:37:45] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:37:45] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:37:46] [Server-Worker-2/INFO]: Preparing spawn area: 15%
[11:37:46] [Server-Worker-2/INFO]: Preparing spawn area: 17%
[11:37:47] [Server-Worker-2/INFO]: Preparing spawn area: 17%
[11:37:47] [Server-Worker-3/INFO]: Preparing spawn area: 18%
[11:37:48] [Server-Worker-3/INFO]: Preparing spawn area: 18%
[11:37:48] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[11:37:49] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[11:37:49] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:37:50] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[11:37:50] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:37:52] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[11:37:52] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:37:52] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:37:52] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:37:53] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[11:37:53] [Server-Worker-2/INFO]: Preparing spawn area: 23%
[11:37:54] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[11:37:54] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[11:37:55] [Server-Worker-2/INFO]: Preparing spawn area: 23%
[11:37:55] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[11:37:56] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[11:37:56] [Server-Worker-2/INFO]: Preparing spawn area: 25%
[11:37:57] [Server-Worker-3/INFO]: Preparing spawn area: 25%
[11:37:57] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[11:37:58] [Server-Worker-2/INFO]: Preparing spawn area: 26%
[11:37:58] [Server-Worker-3/INFO]: Preparing spawn area: 26%
[11:37:59] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[11:37:59] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[11:38:00] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[11:38:00] [Server-Worker-3/INFO]: Preparing spawn area: 28%
[11:38:01] [Server-Worker-3/INFO]: Preparing spawn area: 28%
[11:38:01] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[11:38:02] [Server-Worker-3/INFO]: Preparing spawn area: 28%
[11:38:02] [Server-Worker-3/INFO]: Preparing spawn area: 28%
[11:38:03] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[11:38:03] [Server-Worker-3/INFO]: Preparing spawn area: 28%
[11:38:04] [Server-Worker-3/INFO]: Preparing spawn area: 32%
[11:38:04] [Server-Worker-3/INFO]: Preparing spawn area: 32%
[11:38:05] [Server-Worker-2/INFO]: Preparing spawn area: 33%
[11:38:05] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[11:38:06] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[11:38:06] [Server-Worker-3/INFO]: Preparing spawn area: 34%
[11:38:07] [Server-Worker-3/INFO]: Preparing spawn area: 34%
[11:38:07] [Server-Worker-3/INFO]: Preparing spawn area: 35%
[11:38:08] [Server-Worker-2/INFO]: Preparing spawn area: 35%
[11:38:08] [Server-Worker-2/INFO]: Preparing spawn area: 36%
[11:38:09] [Server-Worker-3/INFO]: Preparing spawn area: 36%
[11:38:11] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[11:38:11] [Server-Worker-3/INFO]: Preparing spawn area: 36%
[11:38:11] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[11:38:11] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[11:38:11] [Server-Worker-2/INFO]: Preparing spawn area: 37%
[11:38:12] [Server-Worker-3/INFO]: Preparing spawn area: 37%
[11:38:12] [Server-Worker-3/INFO]: Preparing spawn area: 37%
[11:38:13] [Server-Worker-3/INFO]: Preparing spawn area: 37%
[11:38:13] [Server-Worker-2/INFO]: Preparing spawn area: 37%
[11:38:14] [Server-Worker-2/INFO]: Preparing spawn area: 37%
[11:38:14] [Server-Worker-2/INFO]: Preparing spawn area: 40%
[11:38:15] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:38:15] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:38:16] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:38:16] [Server-Worker-2/INFO]: Preparing spawn area: 41%
[11:38:17] [Server-Worker-2/INFO]: Preparing spawn area: 41%
[11:38:17] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:38:18] [Server-Worker-2/INFO]: Preparing spawn area: 41%
[11:38:18] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:38:19] [Server-Worker-2/INFO]: Preparing spawn area: 41%
[11:38:19] [Server-Worker-1/INFO]: Preparing spawn area: 45%
[11:38:20] [Server-Worker-1/INFO]: Preparing spawn area: 45%
[11:38:20] [Server-Worker-3/INFO]: Preparing spawn area: 45%
[11:38:21] [Server-Worker-3/INFO]: Preparing spawn area: 46%
[11:38:21] [Server-Worker-3/INFO]: Preparing spawn area: 46%
[11:38:22] [Server-Worker-2/INFO]: Preparing spawn area: 47%
[11:38:22] [Server-Worker-3/INFO]: Preparing spawn area: 47%
[11:38:23] [Server-Worker-1/INFO]: Preparing spawn area: 47%
[11:38:23] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[11:38:24] [Server-Worker-3/INFO]: Preparing spawn area: 48%
[11:38:24] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[11:38:25] [Server-Worker-2/INFO]: Preparing spawn area: 49%
[11:38:25] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[11:38:26] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[11:38:26] [Server-Worker-3/INFO]: Preparing spawn area: 50%
[11:38:27] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[11:38:27] [Server-Worker-2/INFO]: Preparing spawn area: 51%
[11:38:29] [Server-Worker-2/INFO]: Preparing spawn area: 52%
[11:38:29] [Server-Worker-1/INFO]: Preparing spawn area: 52%
[11:38:29] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[11:38:29] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[11:38:30] [Server-Worker-3/INFO]: Preparing spawn area: 55%
[11:38:30] [Server-Worker-3/INFO]: Preparing spawn area: 55%
[11:38:31] [Server-Worker-3/INFO]: Preparing spawn area: 55%
[11:38:31] [Server-Worker-3/INFO]: Preparing spawn area: 56%
[11:38:32] [Server-Worker-1/INFO]: Preparing spawn area: 56%
[11:38:32] [Server-Worker-2/INFO]: Preparing spawn area: 57%
[11:38:33] [Server-Worker-3/INFO]: Preparing spawn area: 57%
[11:38:33] [Server-Worker-3/INFO]: Preparing spawn area: 58%
[11:38:34] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[11:38:35] [Server-Worker-3/INFO]: Preparing spawn area: 58%
[11:38:35] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[11:38:35] [Server-Worker-1/INFO]: Preparing spawn area: 59%
[11:38:36] [Server-Worker-2/INFO]: Preparing spawn area: 59%
[11:38:36] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[11:38:37] [Server-Worker-2/INFO]: Preparing spawn area: 60%
[11:38:37] [Server-Worker-2/INFO]: Preparing spawn area: 61%
[11:38:38] [Server-Worker-3/INFO]: Preparing spawn area: 61%
[11:38:38] [Server-Worker-3/INFO]: Preparing spawn area: 62%
[11:38:40] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[11:38:40] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[11:38:40] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[11:38:41] [Server-Worker-2/INFO]: Preparing spawn area: 65%
[11:38:41] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[11:38:41] [Server-Worker-1/INFO]: Preparing spawn area: 66%
[11:38:42] [Server-Worker-3/INFO]: Preparing spawn area: 66%
[11:38:42] [Server-Worker-1/INFO]: Preparing spawn area: 67%
[11:38:43] [Server-Worker-3/INFO]: Preparing spawn area: 68%
[11:38:43] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[11:38:44] [Server-Worker-3/INFO]: Preparing spawn area: 68%
[11:38:44] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[11:38:45] [Server-Worker-3/INFO]: Preparing spawn area: 69%
[11:38:45] [Server-Worker-1/INFO]: Preparing spawn area: 70%
[11:38:46] [Server-Worker-1/INFO]: Preparing spawn area: 70%
[11:38:46] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[11:38:47] [Server-Worker-3/INFO]: Preparing spawn area: 71%
[11:38:47] [Server-Worker-2/INFO]: Preparing spawn area: 72%
[11:38:48] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[11:38:49] [Server-Worker-1/INFO]: Preparing spawn area: 73%
[11:38:49] [Server-Worker-1/INFO]: Preparing spawn area: 73%
[11:38:49] [Server-Worker-2/INFO]: Preparing spawn area: 73%
[11:38:50] [Server-Worker-2/INFO]: Preparing spawn area: 74%
[11:38:50] [Server-Worker-1/INFO]: Preparing spawn area: 74%
[11:38:51] [Server-Worker-3/INFO]: Preparing spawn area: 75%
[11:38:51] [Server-Worker-2/INFO]: Preparing spawn area: 75%
[11:38:52] [Server-Worker-2/INFO]: Preparing spawn area: 75%
[11:38:52] [Server-Worker-2/INFO]: Preparing spawn area: 76%
[11:38:53] [Server-Worker-3/INFO]: Preparing spawn area: 76%
[11:38:53] [Server-Worker-3/INFO]: Preparing spawn area: 77%
[11:38:54] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[11:38:54] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[11:38:55] [Server-Worker-2/INFO]: Preparing spawn area: 79%
[11:38:55] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[11:38:56] [Server-Worker-3/INFO]: Preparing spawn area: 80%
[11:38:56] [Server-Worker-1/INFO]: Preparing spawn area: 81%
[11:38:57] [Server-Worker-3/INFO]: Preparing spawn area: 81%
[11:38:57] [Server-Worker-2/INFO]: Preparing spawn area: 82%
[11:38:58] [Server-Worker-3/INFO]: Preparing spawn area: 83%
[11:38:58] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[11:38:59] [Server-Worker-1/INFO]: Preparing spawn area: 84%
[11:38:59] [Server-Worker-3/INFO]: Preparing spawn area: 84%
[11:39:00] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[11:39:00] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[11:39:01] [Server-Worker-3/INFO]: Preparing spawn area: 86%
[11:39:01] [Server-Worker-3/INFO]: Preparing spawn area: 86%
[11:39:02] [Server-Worker-1/INFO]: Preparing spawn area: 87%
[11:39:02] [Server-Worker-1/INFO]: Preparing spawn area: 88%
[11:39:03] [Server-Worker-1/INFO]: Preparing spawn area: 88%
[11:39:03] [Server-Worker-3/INFO]: Preparing spawn area: 89%
[11:39:04] [Server-Worker-3/INFO]: Preparing spawn area: 89%
[11:39:05] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[11:39:05] [Server-Worker-3/INFO]: Preparing spawn area: 89%
[11:39:05] [Server-Worker-2/INFO]: Preparing spawn area: 90%
[11:39:06] [Server-Worker-3/INFO]: Preparing spawn area: 90%
[11:39:07] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[11:39:07] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[11:39:07] [Server-Worker-3/INFO]: Preparing spawn area: 91%
[11:39:08] [Server-Worker-1/INFO]: Preparing spawn area: 92%
[11:39:08] [Server-Worker-1/INFO]: Preparing spawn area: 92%
[11:39:09] [Server-Worker-3/INFO]: Preparing spawn area: 93%
[11:39:09] [Server-Worker-3/INFO]: Preparing spawn area: 93%
[11:39:10] [Server-Worker-2/INFO]: Preparing spawn area: 94%
[11:39:10] [Server-Worker-3/INFO]: Preparing spawn area: 95%
[11:39:11] [Server-Worker-2/INFO]: Preparing spawn area: 96%
[11:39:11] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[11:39:12] [Server-Worker-2/INFO]: Preparing spawn area: 97%
[11:39:12] [Server-Worker-2/INFO]: Preparing spawn area: 97%
[11:39:13] [Server-Worker-3/INFO]: Preparing spawn area: 98%
[11:39:13] [Server-Worker-1/INFO]: Preparing spawn area: 99%
[11:39:14] [Server-Worker-2/INFO]: Preparing spawn area: 99%
[11:39:14] [Server thread/INFO]: Time elapsed: 126178 ms
[11:39:14] [Server thread/INFO]: Preparing start region for dimension 'world_nether'/minecraft:the_nether
[11:39:14] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:14] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:15] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:16] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:39:16] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:39:16] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:17] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:39:18] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:18] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:18] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:39:19] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:19] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:39:20] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:39:20] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:39:21] [Server-Worker-3/INFO]: Preparing spawn area: 1%
[11:39:21] [Server-Worker-3/INFO]: Preparing spawn area: 1%
[11:39:22] [Server-Worker-2/INFO]: Preparing spawn area: 1%
[11:39:22] [Server-Worker-3/INFO]: Preparing spawn area: 1%
[11:39:23] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[11:39:23] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[11:39:24] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[11:39:24] [Server-Worker-2/INFO]: Preparing spawn area: 5%
[11:39:25] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:39:25] [Server-Worker-3/INFO]: Preparing spawn area: 7%
[11:39:26] [Server-Worker-2/INFO]: Preparing spawn area: 9%
[11:39:26] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[11:39:27] [Server-Worker-1/INFO]: Preparing spawn area: 11%
[11:39:27] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[11:39:28] [Server-Worker-3/INFO]: Preparing spawn area: 13%
[11:39:28] [Server-Worker-2/INFO]: Preparing spawn area: 15%
[11:39:29] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:39:29] [Server-Worker-2/INFO]: Preparing spawn area: 17%
[11:39:30] [Server-Worker-3/INFO]: Preparing spawn area: 18%
[11:39:30] [Server-Worker-2/INFO]: Preparing spawn area: 19%
[11:39:31] [Server-Worker-3/INFO]: Preparing spawn area: 21%
[11:39:31] [Server-Worker-2/INFO]: Preparing spawn area: 22%
[11:39:32] [Server-Worker-3/INFO]: Preparing spawn area: 22%
[11:39:32] [Server-Worker-2/INFO]: Preparing spawn area: 23%
[11:39:33] [Server-Worker-2/INFO]: Preparing spawn area: 24%
[11:39:33] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[11:39:34] [Server-Worker-2/INFO]: Preparing spawn area: 27%
[11:39:34] [Server-Worker-2/INFO]: Preparing spawn area: 28%
[11:39:35] [Server-Worker-2/INFO]: Preparing spawn area: 29%
[11:39:35] [Server-Worker-3/INFO]: Preparing spawn area: 31%
[11:39:36] [Server-Worker-3/INFO]: Preparing spawn area: 32%
[11:39:36] [Server-Worker-3/INFO]: Preparing spawn area: 33%
[11:39:37] [Server-Worker-2/INFO]: Preparing spawn area: 35%
[11:39:37] [Server-Worker-3/INFO]: Preparing spawn area: 36%
[11:39:38] [Server-Worker-3/INFO]: Preparing spawn area: 38%
[11:39:38] [Server-Worker-3/INFO]: Preparing spawn area: 40%
[11:39:39] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[11:39:39] [Server-Worker-2/INFO]: Preparing spawn area: 42%
[11:39:40] [Server-Worker-2/INFO]: Preparing spawn area: 43%
[11:39:40] [Server-Worker-3/INFO]: Preparing spawn area: 45%
[11:39:41] [Server-Worker-1/INFO]: Preparing spawn area: 47%
[11:39:41] [Server-Worker-2/INFO]: Preparing spawn area: 48%
[11:39:42] [Server-Worker-2/INFO]: Preparing spawn area: 49%
[11:39:42] [Server-Worker-3/INFO]: Preparing spawn area: 51%
[11:39:43] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[11:39:43] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[11:39:44] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[11:39:44] [Server-Worker-2/INFO]: Preparing spawn area: 55%
[11:39:45] [Server-Worker-2/INFO]: Preparing spawn area: 56%
[11:39:45] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[11:39:46] [Server-Worker-2/INFO]: Preparing spawn area: 59%
[11:39:46] [Server-Worker-3/INFO]: Preparing spawn area: 61%
[11:39:47] [Server-Worker-2/INFO]: Preparing spawn area: 61%
[11:39:47] [Server-Worker-3/INFO]: Preparing spawn area: 61%
[11:39:48] [Server-Worker-3/INFO]: Preparing spawn area: 61%
[11:39:48] [Server-Worker-3/INFO]: Preparing spawn area: 66%
[11:39:49] [Server-Worker-2/INFO]: Preparing spawn area: 67%
[11:39:49] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[11:39:50] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[11:39:50] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[11:39:51] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[11:39:51] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[11:39:52] [Server-Worker-2/INFO]: Preparing spawn area: 77%
[11:39:52] [Server-Worker-2/INFO]: Preparing spawn area: 78%
[11:39:53] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[11:39:53] [Server-Worker-3/INFO]: Preparing spawn area: 79%
[11:39:54] [Server-Worker-1/INFO]: Preparing spawn area: 80%
[11:39:54] [Server-Worker-1/INFO]: Preparing spawn area: 82%
[11:39:55] [Server-Worker-3/INFO]: Preparing spawn area: 83%
[11:39:55] [Server-Worker-2/INFO]: Preparing spawn area: 86%
[11:39:56] [Server-Worker-1/INFO]: Preparing spawn area: 87%
[11:39:56] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[11:39:57] [Server-Worker-3/INFO]: Preparing spawn area: 90%
[11:39:57] [Server-Worker-2/INFO]: Preparing spawn area: 92%
[11:39:58] [Server-Worker-2/INFO]: Preparing spawn area: 93%
[11:39:58] [Server-Worker-2/INFO]: Preparing spawn area: 94%
[11:39:59] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[11:39:59] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[11:40:00] [Server-Worker-3/INFO]: Preparing spawn area: 98%
[11:40:00] [Server-Worker-2/INFO]: Preparing spawn area: 99%
[11:40:01] [Server thread/INFO]: Time elapsed: 46566 ms
[11:40:01] [Server thread/INFO]: Preparing start region for dimension 'world_the_end'/minecraft:the_end
[11:40:01] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:40:01] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:40:02] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:40:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:40:03] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:40:03] [Server-Worker-2/INFO]: Preparing spawn area: 1%
[11:40:04] [Server-Worker-3/INFO]: Preparing spawn area: 1%
[11:40:04] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[11:40:05] [Server-Worker-3/INFO]: Preparing spawn area: 7%
[11:40:05] [Server-Worker-3/INFO]: Preparing spawn area: 9%
[11:40:06] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[11:40:06] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[11:40:07] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[11:40:07] [Server-Worker-3/INFO]: Preparing spawn area: 29%
[11:40:08] [Server-Worker-3/INFO]: Preparing spawn area: 33%
[11:40:08] [Server-Worker-3/INFO]: Preparing spawn area: 40%
[11:40:09] [Server-Worker-3/INFO]: Preparing spawn area: 45%
[11:40:09] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[11:40:10] [Server-Worker-3/INFO]: Preparing spawn area: 57%
[11:40:10] [Server-Worker-3/INFO]: Preparing spawn area: 65%
[11:40:11] [Server-Worker-1/INFO]: Preparing spawn area: 70%
[11:40:11] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[11:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[11:40:12] [Server-Worker-3/INFO]: Preparing spawn area: 88%
[11:40:13] [Server-Worker-2/INFO]: Preparing spawn area: 96%
[11:40:13] [Server thread/INFO]: Time elapsed: 12172 ms
[11:40:13] [Server thread/INFO]: Done (323.243s)! For help, type "help"
